Sorting,Date,Ranking,Product
1,Jan,1,Facebook
1,Jan,5,YouTube
1,Jan,4,Instagram
1,Jan,2,Tiktok
1,Jan,3,Twitter
2,Feb,1,Facebook
2,Feb,2,YouTube
2,Feb,3,Instagram
2,Feb,4,Tiktok
2,Feb,5,Twitter
3,Mar,2,Facebook
3,Mar,1,YouTube
3,Mar,4,Instagram
3,Mar,3,Tiktok
3,Mar,5,Twitter
4,Apr,5,Facebook
4,Apr,2,YouTube
4,Apr,4,Instagram
4,Apr,3,Tiktok
4,Apr,1,Twitter
5,May,5,Facebook
5,May,4,YouTube
5,May,2,Instagram
5,May,1,Tiktok
5,May,3,Twitter
6,Jun,1,Facebook
6,Jun,2,YouTube
6,Jun,3,Instagram
6,Jun,4,Tiktok
6,Jun,5,Twitter
7,Jul,2,Facebook
7,Jul,3,YouTube
7,Jul,1,Instagram
7,Jul,4,Tiktok
7,Jul,5,Twitter
8,Aug,2,Facebook
8,Aug,3,YouTube
8,Aug,5,Instagram
8,Aug,1,Tiktok
8,Aug,4,Twitter
9,Sep,3,Facebook
9,Sep,1,YouTube
9,Sep,4,Instagram
9,Sep,2,Tiktok
9,Sep,5,Twitter
10,Oct,1,Facebook
10,Oct,2,YouTube
10,Oct,3,Instagram
10,Oct,4,Tiktok
10,Oct,5,Twitter
11,Nov,2,Facebook
11,Nov,1,YouTube
11,Nov,5,Instagram
11,Nov,4,Tiktok
11,Nov,3,Twitter
12,Dec,2,Facebook
12,Dec,1,YouTube
12,Dec,3,Instagram
12,Dec,4,Tiktok
12,Dec,5,Twitter
